tSec,x,y,z,vx,vy,vz,
58680,41990804.1180241,3816513.88891633,-70597.5138564583,-278.199558018037,3062.03035794457,1.86419015813249,
58740,41973710.2575536,4000198.59493314,-70484.9857850288,-291.594880983189,3060.78340831039,1.88673976863128,
58800,41955812.8440716,4183806.72603949,-70371.105783035,-304.984615675829,3059.47786500923,1.90925443853242,
58860,41937112.2205636,4367334.76736093,-70255.8759598206,-318.368505816918,3058.11375307975,1.93173373767374,
58920,41917608.745388,4550779.20555893,-70139.2984505198,-331.746295239588,3056.69109868113,1.95417723655431,
58980,41897302.7922703,4734136.52889812,-70021.3754160164,-345.117727894029,3055.20992909257,1.97658450634253,
59040,41876194.7502948,4917403.22731347,-69902.1090429041,-358.482547852394,3053.67027271276,1.99895511888424,
59100,41854285.023898,5100575.79247743,-69781.501543445,-371.840499313679,3052.07215905935,2.02128864671082,
59160,41831574.0328605,5283650.71786709,-69659.555155529,-385.191326608617,3050.41561876838,2.04358466304724,
59220,41808062.212299,5466624.49883122,-69536.2721426311,-398.53477420456,3048.70068359367,2.0658427418202,
59280,41783750.0126579,5649493.63265733,-69411.6547937696,-411.870586710366,3046.92738640624,2.08806245766609,
59340,41758637.8997006,5832254.61863872,-69285.7054234631,-425.198508881276,3045.09576119368,2.11024338593908,
59400,41732726.3545008,6014903.9581414,-69158.4263716873,-438.518285623794,3043.20584305945,2.13238510271914,
59460,41706015.8734332,6197438.15467105,-69029.8200038309,-451.829662000558,3041.25766822229,2.15448718482003,
59520,41678506.9681637,6379853.71393994,-68899.8887106518,-465.132383235215,3039.25127401545,2.17654920979733,
59580,41650200.1656401,6562147.14393371,-68768.6349082321,-478.42619471729,3037.18669888602,2.19857075595636,
59640,41621096.0080816,6744314.95497827,-68636.0610379327,-491.710842007047,3035.06398239416,2.22055140236022,
59700,41591195.0529685,6926353.65980647,-68502.1695663479,-504.986070840357,3032.8831652124,2.24249072883768,
59760,41560497.8730317,7108259.7736249,-68366.9629852591,-518.251627133551,3030.64428912478,2.26438831599115,
59820,41529005.0562414,7290029.81418049,-68230.4438115883,-531.50725698828,3028.34739702612,2.28624374520458,
59880,41496717.2057961,7471660.30182717,-68092.6145873505,-544.752706696365,3025.99253292117,2.3080565986514,
59940,41463634.9401111,7653147.75959244,-67953.4778796066,-557.987722744645,3023.57974192376,2.32982645930237,
60000,41429758.8928064,7834488.71324387,-67813.0362804151,-571.212051819822,3021.10907025595,2.35155291093346,
60060,41395089.7126945,8015679.6913556,-67671.2924067837,-584.425440813301,3018.58056524714,2.37323553813373,
