tSec,x,y,z,vx,vy,vz,
32640,-6083871.7094974,-1669981.7246255,4443332.47700397,-2526.45412616357,-4385.19037557423,-5102.7232901788,
32700,-6225889.14323249,-1930351.01161062,4130381.57257079,-2206.21911224792,-4291.52558176714,-5326.26131103678,
32760,-6348479.11463446,-2184696.56791523,3804513.50082684,-1879.0404571087,-4184.45088197511,-5533.1819879351,
32820,-6451255.54189657,-2432223.49792154,3466745.21938643,-1545.93966050854,-4064.29659611467,-5722.83018931416,
32880,-6533894.25054435,-2672157.980939,3118131.39223496,-1207.95825242202,-3931.43473941658,-5894.60455030337,
32940,-6596134.07520537,-2903749.74170465,2759761.09709277,-866.154436287979,-3786.27794845155,-6047.95965490681,
33000,-6637777.75682846,-3126274.45096034,2392754.4089429,-521.599641439385,-3629.27823496989,-6182.40798303273,
33060,-6658692.63184684,-3339036.04732164,2018258.87327577,-175.375037455474,-3460.92560943995,-6297.52164364429,
33120,-6658811.11110067,-3541368.97262339,1637445.88112005,171.431989226076,-3281.74657219521,-6392.933918589,
33180,-6638130.94602445,-3732640.31243581,1251506.95708607,517.731403309974,-3092.30245925769,-6468.3406142375,
33240,-6596715.27971456,-3912251.83297042,861649.972809799,862.434118593833,-2893.1876459908,-6523.50119302187,
33300,-6534692.4818519,-4079641.90649346,469095.299192198,1204.45560331377,-2685.02762965611,-6558.23968492292,
33360,-6452255.76695464,-4234287.31812345,75071.9102417322,1542.7194998933,-2468.47699048878,-6572.44538766026,
33420,-6349662.59487896,-4375704.9462477,-319186.548038404,1876.16126001642,-2244.21721665474,-6566.0733238339,
33480,-6227233.85372276,-4503453.30848349,-712445.707897301,2203.73175386036,-2012.95440128012,-6539.14441826385,
33540,-6085352.82818355,-4617133.96634766,-1103474.43220561,2524.40080606761,-1775.41684124211,-6491.74539337572,
33600,-5924463.95871128,-4716392.78370262,-1491048.75251525,2837.16062982896,-1532.35256889577,-6424.0284008159,
33660,-5745071.39801594,-4800921.03564266,-1873955.7778092,3141.02914752942,-1284.52683674807,-6336.2104179975,
33720,-5547737.37156548,-4870456.3651055,-2250997.56056251,3435.05320567047,-1032.71955608321,-6228.57242932005,
33780,-5333080.34824769,-4924783.584367,-2620994.9070511,3718.31168633955,-777.722688779133,-6101.458384058,
33840,-5101773.02783157,-4963735.31890068,-2982791.1181558,3989.91849888703,-520.337603239916,-5955.27392110803,
33900,-4854540.15307477,-4987192.49183106,-3335255.64668707,4249.02542953218,-261.372406776365,-5790.48486261021,
33960,-4592156.15571002,-4995084.64792614,-3677287.65759309,4494.82482506453,-1.63926719318178,-5607.61548502395,
34020,-4315442.64696022,-4987390.11706346,-4007819.47816224,4726.55208852311,258.048255572465,-5407.24658535975,
34080,-4025265.76422606,-4964136.01847138,-4325819.92678793,4943.48797785123,516.877845750551,-5190.01337222791,
34140,-3722533.38563144,-4925398.10805533,-4630297.51059423,5144.96071342929,774.04102468608,-4956.60320635414,
34200,-3408192.22364981,-4871300.47164596,-4920303.48333625,5330.3479024615,1028.73569246835,-4707.75320482618,
34260,-3083224.80855146,-4802015.06742322,-5194934.7558221,5499.07828861688,1280.16861387276,-4444.24772309385,
34320,-2748646.37196831,-4717761.12075161,-5453336.65184705,5650.6333320049,1527.55785323301,-4166.9157243344,
34380,-2405501.64079762,-4618804.37431306,-5694705.50297205,5784.54861679251,1770.13516311043,-3876.6280378757,
34440,-2054861.55207093,-4505456.1964517,-5918291.07541723,5900.41507575147,2007.14831910014,-3574.294504816,
34500,-1697819.9001551,-4378072.55158662,-6123398.82252722,5997.88002023607,2237.86337880259,-3260.86102154384,
34560,-1335489.92799039,-4237052.83782371,-6309391.95738666,6076.64797694416,2461.56684805381,-2937.30650524463,
34620,-969000.87370768,-4082838.59751134,-6475693.34153856,6136.48133976522,2677.56774922479,-2604.63980133165,
34680,-599494.483472176,-3915912.10676215,-6621787.18686016,6177.20084574027,2885.19958663799,-2263.89655114044,
34740,-228121.500708838,-3736794.85019102,-6747220.56872116,6198.68588827463,3083.82220720036,-1916.13603567899,
34800,143961.858802058,-3546045.88720991,-6851604.74943798,6200.87467683189,3272.82355416596,-1562.43801283262,
34860,515597.437433976,-3344260.11611955,-6934616.31252784,6183.76427222499,3451.62132525968,-1203.89957706178,
34920,885628.665904036,-3132066.44037861,-6995998.10900951,6147.41054623839,3619.66458622034,-841.63202388512,
34980,1252904.08867407,-2910125.83783224,-7035560.01325774,6091.92804971635,3776.43539684755,-476.75761710635,
35040,1616280.8753502,-2679129.33325994,-7053179.48024969,6017.48965025512,3921.45038163173,-110.406208507098,
35100,1974628.30157953,-2439795.88176765,-7048801.89837612,5924.32589094754,4054.26211867053,256.288165472069,
35160,2326831.18635562,-2192870.17477777,-7022440.74135598,5812.72420516395,4174.46034407583,622.190568436066,
35220,2671793.28070374,-1939120.3765657,-6974177.52563531,5683.02808288072,4281.67307744055,986.168383127382,
35280,3008440.60389655,-1679335.79464942,-6904161.57413898,5535.63614251905,4375.56769829555,1347.09455406823,
35340,3335724.71950703,-1414324.48773366,-6812609.58476524,5371.0010478902,4455.85194717315,1703.85084590991,
35400,3652625.94166412,-1144910.81618142,-6699805.00406854,5189.6282695942,4522.2748401933,2055.33107439395,
35460,3958156.46318494,-871932.940230829,-6566097.20794209,4992.07472380471,4574.62749534865,2400.44431315045,
35520,4251363.39863663,-596240.27146769,-6411900.48993351,4778.94729648175,4612.74386320477,2738.11810286901,
35580,4531331.7349692,-318690.883550094,-6237692.85648405,4550.90123289182,4636.50135145137,3067.30167942512,
35640,4797187.18062436,-40148.8892840893,-6044014.62814066,4308.63835968058,4645.82131729508,3386.96920642356,
35700,5048098.9027731,238518.207547308,-5831466.84805086,4052.90513712985,4640.66941942937,3696.12295713147,
35760,5283282.14321215,516442.178054984,-5600709.50198514,3784.49056528313,4621.05586232711,3993.79641432611,
35820,5502000.70445024,792756.746040781,-5352459.55459115,3504.22395064882,4587.03554747061,4279.05729908996,
35880,5703569.29763634,1066600.27144103,-5087488.80567583,3212.97253463764,4538.70810488764,4551.01054255992,
35940,5887355.74397648,1337118.43140502,-4806621.56988629,2911.63897965347,4476.21778017837,4808.80119769386,
36000,6052783.02091534,1603466.89010406,-4510732.1843451,2601.15871062291,4399.75317348665,5051.61725452365,
36060,6199331.14513563,1864813.94889498,-4200742.35109585,2282.49714027798,4309.54684937657,5278.69233145027,
36120,6326538.88628914,2120343.16949074,-3877618.32110971,1956.64680215886,4205.87482569778,5489.30827433382,
36180,6434005.30534152,2369255.96233567,-3542367.92386135,1624.62436025009,4089.05591954252,5682.79770889038,
36240,6521391.10779371,2610774.13050334,-3196037.44567746,1287.46741715783,3959.45091130804,5858.54651359731,
36300,6588419.79893558,2844142.35705965,-2839708.36523047,946.231119688904,3817.46149437506,6015.99608584287,
36360,6634878.63232772,3068630.62347244,-2474493.96157697,601.984684136796,3663.52903704466,6154.64532387839,
36420,6660619.34976742,3283536.54964908,-2101535.81053041,255.807921785015,3498.13321455139,6274.05238238331,
36480,6665558.71201846,3488187.64818697,-1722000.1809641,-91.2122687110114,3321.79051353105,6373.83625160986,
36540,6649678.81775137,3681943.48472226,-1337074.34245204,-437.985448424162,3135.05259990799,6453.67812807963,
36600,6613027.20909938,3864197.73687295,-947962.797093183,-783.421204399593,2938.5045742568,6513.32257462114,
36660,6555716.76221161,4034380.14523011,-555883.447783829,-1126.43275297276,2732.76311554654,6552.57847610617,
36720,6477925.36065038,4191958.34927134,-162063.715863189,-1465.94056893237,2518.47450021711,6571.31976840801,
36780,6379895.35112256,4336439.60050672,232263.378045406,-1800.87600868896,2296.31248886741,6569.48593586893,
36840,6261932.78247212,4467372.34460824,625863.155549932,-2130.18490516907,2066.97607414374,6547.08225131002,
36900,6124406.43128206,4584347.66525254,1017503.22798077,-2452.83107590305,1831.18713532485,6504.17973976083,
36960,5967746.62017982,4687000.58580596,1405957.43493636,-2767.79973090838,1589.68804558663,6440.91492874672,
37020,5792443.83345274,4775011.22529231,1790009.76232146,-3074.10082735402,1343.23919964581,6357.48940951768,
37080,5599047.13273181,4848105.80304536,2168458.22710605,-3370.77237513629,1092.6164453733,6254.16915710512,
37140,5388162.37653904,4906057.4872016,2540118.7131074,-3656.88366535287,838.608452686363,6131.28357529321,
37200,5160450.24905395,4948687.08396476,2903828.74078781,-3931.53839294723,582.014037805692,5989.22424782725,
37260,4916624.10674382,4975863.56524775,3258451.15305846,-4193.87758691265,323.639456006438,5828.44339388333,
37320,4657447.65706334,4987504.43373774,3602877.70131178,-4443.08227277841,64.2956956357848,5649.4521014429,
37380,4383732.4856575,4983575.92692582,3936032.52066181,-4678.3758620152,-195.20416894137,5452.8184142666,
37440,4096335.44681358,4964093.0663387,4256875.48910659,-4899.02635319878,-454.047485964915,5239.16540315175,
37500,3796155.92073194,4929119.55786987,4564405.47225176,-5104.34861401297,-711.424528287915,5009.16925006008,
37560,3484132.93017259,4878767.53548937,4857663.4447942,-5293.70673123008,-966.531225871577,4763.55698378216,
37620,3161242.12554047,4813197.13775613,5135735.46000703,-5466.51597656011,-1218.57193892214,4503.10370755298,
37680,2828492.66778228,4732615.92560839,5397755.44671521,-5622.24427935394,-1466.76195278437,4228.62969442035,
37740,2486924.03077509,4637278.15792584,5642907.83510763,-5760.41348084118,-1710.3297550155,3940.99759030841,
37800,2137602.73099455,4527483.933139,5870430.01631055,-5880.60051000067,-1948.51923657769,3641.10965124386,
37860,1781618.98882876,4403578.19967074,6079614.63508683,-5982.43848289953,-2180.59187063174,3329.90493364553,
37920,1420083.32712697,4265949.63528957,6269811.7109323,-6065.61768468611,-2405.82890545843,3008.35637245861,
37980,1054123.11628403,4115029.39507744,6440430.5792371,-6129.88635636252,-2623.53353844009,2677.46770467958,
38040,684879.079418571,3951289.73170571,6590941.6442182,-6175.05123694049,-2833.03298516146,2338.2702871784,
38100,313501.771558314,3775242.49594238,6720877.9401538,-6200.97790046859,-3033.68040286852,1991.81990034921,
38160,-58851.9570570031,3587437.52551653,6829836.50114815,-6207.59095588212,-3224.85669537063,1639.19355888461,
38220,-431022.50598187,3388460.92830468,6917479.53904222,-6194.87412142385,-3405.9722352017,1281.48630115995,
38280,-801851.069612801,3178933.26431216,6983535.42759598,-6162.87014622848,-3576.46851375399,919.807942741839,
38340,-1170183.17244939,2959507.63121533,7027799.491342,-6111.68056421401,-3735.81970303388,555.279818766961,
38400,-1534872.18528191,2730867.65888216,7050134.59938296,-6041.46531070742,-3883.53413133472,189.031538777441,
38460,-1894782.81464553,2493725.41749879,7050471.56419685,-5952.44221071129,-4019.15568680933,-177.802273162015,
38520,-2248794.55699503,2248819.24421659,7028809.34435662,-5844.88631380672,-4142.26512379673,-544.085247089517,
38580,-2595805.10917969,1996911.49473308,6985215.05204325,-5719.12911415794,-4252.48126328249,-908.682503840688,
38640,-2934733.72979417,1738786.22495991,6919823.76636801,-5575.55768964794,-4349.46212866334,-1270.4639055397,
38700,-3264524.54498344,1475246.80644729,6832838.1496507,-5414.61369762992,-4432.90601070901,-1628.30737379235,
38760,-3584149.78836733,1207113.48121855,6724527.8635805,-5236.79218380621,-4502.55241796244,-1981.10222888826,
38820,-3892612.96468225,935220.862886827,6595228.78589527,-5042.6402381033,-4558.18292374537,-2327.7524990528,
38880,-4188951.92859338,660415.389288436,6445342.02857253,-4832.75550447243,-4599.62193293636,-2667.18023778294,
38940,-4472241.86813782,383552.732974544,6275332.75616082,-4607.78448267828,-4626.73730298963,-2998.32885641502,
39000,-4741598.18022905,105495.180508101,6085728.80691712,-4368.42064822967,-4639.44076755829,-3320.16634092906,
39060,-4996179.23128061,-172891.01005438,5877119.12566685,-4115.40251630143,-4637.68826148973,-3631.68832830177,
39120,-5235188.99971066,-450738.270068667,5650152.01301469,-3849.51162249311,-4621.48020503472,-3931.9211666717,
39180,-5457879.59250774,-727180.395755431,5405533.19089276,-3571.57033842486,-4590.86169554328,-4219.92497003944,
39240,-5663553.62550925,-1001355.23155402,5144023.68588363,-3282.43951204004,-4545.92257675532,-4494.79663444007,
39300,-5851566.45653061,-1272407.35342205,4866437.53349006,-2983.01592292922,-4486.79736222532,-4755.67278100941,
39360,-6021328.26110163,-1539490.74251565,4573639.30934702,-2674.22959122752,-4413.66499030174,-5001.73257698354,
39420,-6172305.94362516,-1801771.43925435,4266541.49491594,-2357.04098594405,-4326.74841740168,-5232.20043433776,
39480,-6304024.87817802,-2058430.16841592,3946101.68486799,-2032.43813910047,-4226.31406146215,-5446.34858558005,
39540,-6416070.47374793,-2308664.92690896,3613319.64383093,-1701.43368283693,-4112.67111968027,-5643.49953211259,
39600,-6508089.55936194,-2551693.527389,3269234.21912506,-1365.06180162214,-3986.17077815679,-5823.02840443179,
39660,-6579791.58239201,-2786756.09074205,2914920.11374203,-1024.37504242213,-3847.20529160652,-5984.36525832642,
39720,-6630949.60971736,-3013117.47789139,2551484.52499296,-680.440927833212,-3696.20686927174,-6126.99723731717,
39780,-6661401.12050994,-3230069.64855881,2180063.66001266,-334.338412675025,-3533.64636121055,-6250.47050182439,
39840,-6671048.58388621,-3436933.93595272,1801819.14411325,12.8457297881013,-3360.03177397596,-6354.39186758899,
39900,-6659859.81972505,-3633063.22818542,1417934.33924503,360.020511073313,-3175.90665144198,-6438.43017294597,
39960,-6627868.14451623,-3817844.04905989,1029610.5869177,706.094291145108,-2981.84834142384,-6502.31744052256,
40020,-6575172.30378542,-3990698.53155173,638063.386385899,1049.97833817971,-2778.46615149847,-6545.84987548755,
40080,-6501936.18977069,-4151086.27704563,244518.518179021,1390.5904320359,-2566.39938202734,-6568.8886815213,
40140,-6408388.34144757,-4298506.09247695,-149791.874512544,1726.85851086984,-2346.31522222053,-6571.36064057415,
40200,-6294821.22554975,-4432497.59722393,-543633.23109546,2057.72431586319,-2118.90651532975,-6553.25841793141,
40260,-6161590.30013662,-4552642.69249369,-935772.528693032,2382.14698899667,-1884.88941330394,-6514.64058617868,
40320,-6009112.86451225,-4658566.8871528,-1324982.23028109,2699.10659130231,-1645.00094038371,-6455.63136825882,
40380,-5837866.70136208,-4749940.4752618,-1710044.20910837,3007.60750439708,-1399.99649138692,-6376.42010741272,
40440,-5648388.51900633,-4826479.56227992,-2089753.63397896,3306.68169057377,-1150.64729264579,-6277.26050091539,
40500,-5441272.20198541,-4887946.93799864,-2462922.8026405,3595.39182785536,-897.737829382339,-6158.46964093311,
40560,-5217166.87641305,-4934152.79349004,-2828384.91167027,3872.83435061459,-642.063215376774,-6020.42684742822,
40620,-4976774.796543,-4964955.27868727,-3184997.74857404,4138.14235470254,-384.426520221792,-5863.57223797483,
40680,-4720849.06290817,-4980260.89999721,-3531647.29089665,4390.48830312997,-125.636118648113,-5688.40507411665,
40740,-4450191.18344792,-4980024.75993413,-3867251.20155598,4629.08656552013,133.496930669664,-5495.48196143608,
40800,-4165648.48604806,-4964250.63932646,-4190762.21145866,4853.19583079996,392.161515567828,-5285.41488240957,
40860,-3868111.3910453,-4932990.92152758,-4501171.377943,5062.1213523383,649.549099704545,-5058.86902405179,
40920,-3558510.55511747,-4886346.35998359,-4797511.20739224,5255.21698890428,904.856309413164,-4816.56043099347,
40980,-3237813.89857994,-4824465.69228305,-5078858.63278202,5431.88705330244,1157.28746394543,-4559.25351947926,
41040,-2907023.52733142,-4747545.10413978,-5344337.83804913,5591.58797392621,1406.05704603757,-4287.75845815955,
41100,-2567172.56102069,-4655827.54725307,-5593122.92168008,5733.82975792049,1650.39209961551,-4002.92843301804,
41160,-2219321.87930489,-4549601.91574803,-5824440.39357299,5858.17726126484,1889.5345459531,-3705.65683028515,
41220,-1864556.79713117,-4429202.08595097,-6037571.50101058,5964.25128865625,2122.74342522382,-3396.87435875514,
41280,-1503983.67862067,-4295005.82353001,-6231854.38014056,6051.72954216754,2349.2970787842,-3077.54610863401,
41340,-1138726.49852189,-4147433.5611644,-6406686.02851165,6120.34741758091,2568.49528282509,-2748.66852253785,
41400,-769923.361184622,-3986947.05001284,-6561524.09256507,6169.89861684092,2779.66131473027,-2411.26625548055,
41460,-398722.989236725,-3814047.8904642,-6695888.46397956,6200.23554308756,2982.14390230456,-2066.3889543526,
41520,-26281.1947759633,-3629275.95021416,-6809362.68232369,6211.26949672707,3175.31903143483,-1715.1080343264,
41580,346242.656691046,-3433207.67741739,-6901595.14533419,6202.97072992366,3358.59164397201,-1358.51348929971,
41640,717689.18209331,-3226454.31423361,-6972300.12816436,6175.36838373686,3531.39726281428,-997.71070701265,
41700,1086902.50891561,-3009660.01501852,-7021258.6109974,6128.5502921113,3693.2035451247,-633.817265195065,
41760,1452733.78749282,-2783499.87365764,-7048318.91415802,6062.6626482356,3843.51175205265,-267.959725030143,
41820,1814044.6793224,-2548677.86548521,-7053397.14143735,5977.90954769381,3981.85813453389,98.7295562300257,
41880,2169710.8153999,-2305924.70738328,-7036477.43221293,5874.55244749155,4107.81527905304,465.115619263608,
41940,2518625.21906793,-2055995.63784839,-6997612.01989557,5752.90951209712,4220.99342812496,830.064179287108,
42000,2859701.68380848,-1799668.11999517,-6936921.09016447,5613.35475013272,4321.0417094717,1192.44501482701,
42060,3191878.09210707,-1537739.47614738,-6854592.43520556,5456.31692400056,4407.64917983612,1551.1353541948,
42120,3514119.66444686,-1271024.4649139,-6750880.9074958,5282.27832680482,4480.54571319807,1905.02316766095,
42180,3825422.13221692,-1000352.80744029,-6626107.67815593,5091.77346751027,4539.50281614248,2253.01040121111,
42240,4124814.82820486,-726566.666341209,-6480659.3014491,4885.38763038066,4584.33438650072,2594.01621211103,
42300,4411363.68551302,-450518.081847627,-6314986.58460353,4663.75525457465,4614.89736955077,2926.98021619377,
42360,4684174.13363439,-173066.373140863,-6129603.2645569,4427.55813971215,4631.09226045707,3250.86565702146,
42420,4942393.88444046,104924.486966719,-5925084.49831579,4177.52358595355,4632.86350676604,3564.66246125969,
42480,5185215.60488914,382588.520230847,-5702065.17050776,3914.42246256764,4620.19986778765,3867.39029471397,
42540,5411879.46934306,659060.410474732,-5461238.01639973,3639.06711596684,4593.13468911648,4158.10165328708,
42600,5621675.58050202,933478.183760967,-5203351.55924271,3352.30907763193,4551.74604247294,4435.88495441261,
42660,5813946.24643626,1204985.89165352,-4929207.86351021,3055.03656252718,4496.15668205088,4699.86756940928,
42720,5988088.10228236,1472736.28593055,-4639660.10980423,2748.17180270719,4426.53380639417,4949.21872743556,
42780,6143554.06825291,1735893.47390828,-4335610.00011211,2432.66826323151,4343.08865571925,5183.15226450866,
42840,6279855.1379524,1993635.54548125,-4018005.00291028,2109.50777621805,4246.075977821,5400.92921528046,
42900,6396561.99288343,2245157.16505516,-3687835.4465324,1779.69761054398,4135.79339550105,5601.86028981414,
