tSec,x,y,z,vx,vy,vz,Unnamed: 7
10860,29513480.4253426,29921784.348735,2586167.41306994,-2182.18650338089,2152.33564697626,-191.202335974956,
10920,29382266.0087954,30050636.5166581,2574670.46038324,-2191.62045491363,2142.72965653587,-192.028813142472,
10980,29250486.8037793,30178911.0740341,2563124.02850611,-2201.01275515418,2133.08199186154,-192.851639648732,
11040,29118145.3148588,30306605.5257796,2551528.33695885,-2210.36322132334,2123.39283211931,-193.670799483928,
11100,28985244.0575432,30433717.387586,2539883.6062204,-2219.67167138208,2113.66235728355,-194.48627670317,
11160,28851785.5582416,30560244.1859668,2528190.05772443,-2228.93792403508,2103.89074813404,-195.298055426793,
11220,28717772.3542185,30686183.4583069,2516447.91385543,-2238.16179873433,2094.07818625314,-196.106119840667,
11280,28583206.993549,30811532.7529097,2504657.39794475,-2247.34311568259,2084.2248540229,-196.910454196511,
11340,28448092.035073,30936289.6290457,2492818.73426669,-2256.48169583697,2074.33093462211,-197.711042812195,
11400,28312430.0483506,31060451.6569999,2480932.14803445,-2265.57736091243,2064.39661202342,-198.507870072055,
11460,28176223.6136161,31184016.4181193,2468997.86539618,-2274.62993338527,2054.42207099038,-199.300920427193,
11520,28039475.3217321,31306981.5048605,2457016.11343096,-2283.63923649664,2044.40749707452,-200.090178395788,
11580,27902187.774144,31429344.5208368,2444987.12014475,-2292.60509425601,2034.35307661233,-200.875628563401,
11640,27764363.5828333,31551103.0808649,2432911.11446636,-2301.52733144468,2024.25899672231,-201.657255583277,
11700,27626005.3702715,31672254.8110123,2420788.32624334,-2310.40577361921,2014.12544530197,-202.435044176652,
11760,27487115.7693731,31792797.3486435,2408618.98623794,-2319.24024711492,2003.9526110248,-203.208979133054,
11820,27347697.4234494,31912728.3424666,2396403.32612299,-2328.03057904929,1993.74068333725,-203.979045310603,
11880,27207752.9861609,32032045.4525796,2384141.57847775,-2336.77659732544,1983.48985245566,-204.745227636319,
11940,27067285.1214702,32150746.3505165,2371833.97678379,-2345.47813063555,1973.20030936324,-205.507511106413,
12000,26926296.5035948,32268828.7192934,2359480.75542083,-2354.13500846425,1962.87224580695,-206.265880786595,
12060,26784789.8169591,32386290.2534538,2347082.14966254,-2362.74706109207,1952.50585429444,-207.020321812368,
12120,26642767.7561467,32503128.6591144,2334638.39567237,-2371.31411959883,1942.1013280909,-207.770819389326,
12180,26500233.0258525,32619341.6540107,2322149.73049932,-2379.83601586701,1931.65886121598,-208.517358793453,
12240,26357188.3408342,32734926.9675418,2309616.39207372,-2388.31258258513,1921.17864844062,-209.259925371417,
12300,26213636.4258639,32849882.3408155,2297038.61920297,-2396.74365325116,1910.6608852839,-209.998504540865,
12360,26069580.0156794,32964205.526693,2284416.65156726,-2405.12906217582,1900.10576800988,-210.733081790718,
12420,25925021.8549356,33077894.289834,2271750.72971531,-2413.46864448599,1889.5134936244,-211.463642681466,
12480,25779964.698155,33190946.4067402,2259041.09506006,-2421.76223612799,1878.88425987188,-212.190172845455,
12540,25634411.3096788,33303359.6658003,2246287.98987435,-2430.00967387095,1868.21826523211,-212.912657987184,
12600,25488364.4636172,33415131.867334,2233491.65728656,-2438.2107953101,1857.51570891701,-213.631083883594,
12660,25341826.9437997,33526260.8236352,2220652.34127628,-2446.3654388701,1846.77679086737,-214.345436384354,
12720,25194801.5437257,33636744.3590162,2207770.28666994,-2454.47344380831,1836.00171174961,-215.055701412157,
12780,25047291.0665139,33746580.3098511,2194845.73913641,-2462.53465021811,1825.19067295249,-215.761864962998,
12840,24899298.3248521,33855766.5246186,2181878.94518258,-2470.54889903213,1814.34387658381,-216.463913106469,
12900,24750826.140947,33964300.8639457,2168870.15214896,-2478.51603202555,1803.4615254671,-217.161831986041,
12960,24601877.3464735,34072181.20065,2155819.60820523,-2486.43589181934,1792.54382313831,-217.85560781935,
13020,24452454.782541,34179405.4198065,2142787.56215468,-2494.30832102511,1781.59097503882,-217.545236453123,
13080,24302561.299693,34285971.4188615,2129714.26285639,-2502.13316313435,1770.60318730654,-218.23071381253,
13140,24152199.757803,34391877.1076029,2116599.95979377,-2509.91026336609,1759.58066558037,-218.912026344678,
13200,24001373.0260056,34497120.4081776,2103444.90326118,-2517.63946779781,1748.52361619764,-219.58916057159,
13260,23850083.9826451,34601699.2551337,2090249.34435939,-2525.32062336867,1737.43224619075,-220.26210309048,
13320,23698335.5152231,34705611.595462,2077013.53499108,-2532.95357788267,1726.30676328374,-220.930840574037,
13380,23546130.5203474,34808855.3886375,2063737.7278563,-2540.53818001181,1715.14737588885,-221.595359770697,
13440,23393471.9036791,34911428.6066604,2050422.1764479,-2548.07427929927,1703.95429310308,-222.25564750492,
13500,23240362.5798806,35013329.2340972,2037067.13504699,-2555.56172616252,1692.72772470474,-222.91169067747,
13560,23086805.4725628,35114555.2681214,2023672.85871834,-2563.00037189652,1681.46788114996,-223.563476265682,
13620,22932803.5142327,35215104.7185542,2010239.60330577,-2570.39006867674,1670.17497356922,-224.210991323739,
13680,22778359.6462401,35314975.6079048,1996767.62542752,-2577.73066956236,1658.84921376383,-224.854222982946,
13740,22623476.8187247,35414165.9714103,1983257.18247167,-2585.02202849934,1647.4908142024,-225.493158451995,
13800,22468157.990563,35512673.8570762,1969708.53259141,-2592.26400032348,1636.09998801734,-226.127785017242,
13860,22312406.1293142,35610497.3257154,1956121.93470044,-2599.4564407635,1624.67694900126,-226.758090042969,
13920,22156224.2111672,35707634.4509883,1942497.64846825,-2606.59920644415,1613.22191160347,-227.384060971659,
13980,21999615.2208862,35804083.3194418,1928835.93431541,-2613.69215488919,1601.73509092632,-228.005685324257,
14040,21842582.1517573,35899842.0305484,1915137.05340892,-2620.73514452448,1590.21670272169,-228.622950700437,
14100,21685128.0055335,35994908.6967454,1901401.26765737,-2627.72803468096,1578.66696338731,-229.235844778869,
14160,21527255.792381,36089281.4434727,1887628.8397063,-2634.6706855977,1567.08608996317,-229.844355317481,
14220,21368968.5308241,36182958.4092123,1873820.03293337,-2641.56295842489,1555.47430012787,-230.44847015372,
14280,21210269.2476911,36275937.7455257,1859975.11144361,-2648.40471522679,1543.83181219499,-231.048177204814,
14340,21051160.9780584,36368217.6170922,1846094.34006461,-2655.19581898476,1532.15884510938,-231.643464468036,
14400,20891646.7651964,36459796.2017468,1832177.9843417,-2661.93613360019,1520.45561844351,-232.234320020957,
14460,20731729.6605134,36550671.6905173,1818226.31053319,-2668.62552389744,1508.72235239373,-232.820732021708,
14520,20571412.7235007,36640842.2876623,1804239.58560542,-2675.2638556268,1496.95926777662,-233.402688709235,
14580,20410699.0216766,36730306.2107074,1790218.077228,-2681.85099546738,1485.16658602522,-233.980178403555,
14640,20249591.6305308,36819061.6904831,1776162.05376888,-2688.38681103006,1473.34452918527,-234.553189506013,
14700,20088093.6334682,36907106.9711606,1762071.78428951,-2694.87117086034,1461.4933199115,-235.12171049953,
14760,19926208.1217531,36994440.3102886,1747947.53853988,-2701.30394444127,1449.61318146382,-235.685729948861,
14820,19763938.1944524,37081059.9788296,1733789.58695365,-2707.68500219628,1437.70433770357,-236.245236500842,
14880,19601286.9583794,37166964.2611956,1719598.2006432,-2714.01421549205,1425.76701308968,-236.800218884643,
14940,19438257.5280369,37252151.455284,1705373.65139467,-2720.29145664135,1413.80143267486,-237.350665912012,
15000,19274853.0255608,37336619.872513,1691116.21166305,-2726.51659890588,1401.80782210182,-237.896566477529,
15060,19111076.5806623,37420367.8378572,1676826.15456711,-2732.68951649905,1389.78640759935,-238.437909558846,
15120,18946931.3305716,37503393.6898822,1662503.75388451,-2738.81008458885,1377.73741597852,-238.974684216937,
15180,18782420.4199798,37585695.7807797,1648149.28404671,-2744.87817930055,1365.66107462878,-239.506879596338,
15240,18617547.000982,37667272.476402,1633763.02013401,-2750.89367771953,1353.55761151408,-240.034484925392,
15300,18452314.233019,37748122.1562964,1619345.23787048,-2756.85645789405,1341.42725516896,-240.557489516492,
15360,18286725.28282,37828243.2137393,1604896.21361891,-2762.76639883793,1329.27023469465,-241.075882766316,
15420,18120783.3243441,37907634.05577,1590416.22437578,-2768.62338053334,1317.08677975512,-241.589654156071,
15480,17954491.5387225,37986293.1032247,1575905.54776612,-2774.42728393351,1304.87712057316,-242.098793251729,
15540,17787853.1142001,38064218.7907691,1561364.46203849,-2780.17799096541,1292.64148792639,-242.603289704261,
15600,17620871.2460766,38141409.5669327,1546793.24605981,-2785.87538453245,1280.38011314333,-243.103133249878,
15660,17453549.1366485,38217863.8941408,1532192.17931026,-2791.51934851714,1268.09322809935,-243.59831371026,
15720,17285889.9951496,38293580.2487474,1517561.54187819,-2797.10976778378,1255.78106521273,-244.088820992789,
15780,17117897.0376925,38368557.1210682,1502901.61445488,-2802.64652818109,1243.44385744064,-244.574645090783,
15840,16949573.4872092,38442793.0154121,1488212.67832945,-2808.12951654481,1231.08183827505,-245.055776083725,
15900,16780922.5733919,38516286.4501135,1473495.01538367,-2813.55862070036,1218.69524173877,-245.532204137492,
15960,16611947.5326336,38589035.957564,1458748.90808675,-2818.93372946542,1206.28430238132,-246.00391950458,
16020,16442651.6079683,38661040.0842439,1443974.63949013,-2824.2547326525,1193.84925527492,-246.470912524335,
16080,16273038.0490113,38732297.3907535,1429172.4932223,-2829.52152107156,1181.39033601037,-246.933173623173,
16140,16103110.1118995,38802806.4518438,1414342.75348355,-2834.73398653248,1168.90778069295,-247.390693314807,
16200,15932871.059231,38872565.8564476,1399485.7050407,-2839.8920218477,1156.40182593834,-247.843462200468,
16260,15762324.1600051,38941574.2077097,1384601.63322189,-2844.99552083466,1143.87270886845,-248.291470969128,
16320,15591472.6895616,39009830.1230176,1369690.82391127,-2850.04437831837,1131.32066710731,-248.734710397713,
16380,15420319.9295209,39077332.2340309,1354753.56354372,-2855.03849013384,1118.74593877693,-249.17317135133,
16440,15248869.1677226,39144079.1867114,1339790.1390996,-2859.97775312865,1106.14876249309,-249.606844783479,
16500,15077123.6981653,39210069.6413528,1324800.83809935,-2864.8620651653,1093.5293773612,-250.035721736268,
16560,14905086.8209451,39275302.2726093,1309785.94859827,-2869.69132512375,1080.88802297208,-250.459793340629,
16620,14732761.8421947,39339775.7695254,1294745.75918111,-2874.46543290381,1068.22493939778,-250.87905081653,
16680,14560152.0740224,39403488.835564,1279680.55895673,-2879.18428942755,1055.54036718734,-251.293485473187,
16740,14387260.8344503,39466440.1886353,1264590.6375528,-2883.84779664173,1042.83454736255,-251.703088709274,
16800,14214091.4473528,39528628.5611247,1249476.28511033,-2888.45585752015,1030.10772141372,-252.10785201313,
16860,14040647.2423952,39590052.6999212,1234337.79227836,-2893.00837606602,1017.36013129543,-252.507766962968,
16920,13866931.5549715,39650711.3664448,1219175.45020854,-2897.50525731435,1004.59201942222,-252.90282522708,
16980,13692947.7261427,39710603.3366739,1203989.55054971,-2901.94640733422,991.803628664335,-253.29301856404,
