tSec,x,y,z,vx,vy,vz,
16620,5552628.77775716,1269806.87904686,-4569058.46065902,3319.567622769,4752.2774954814,4438.7473748699,
16680,5741511.08750605,1552444.01644387,-4294506.7196256,2975.37215676294,4666.28499009942,4709.56626957454,
16740,5909550.51991121,1829447.39709288,-4004323.33207942,2625.02906465951,4564.60882212366,4959.74687635584,
16800,6056418.00071416,2099898.27795292,-3699755.718784,2269.85543216274,4447.99300822771,5188.99889400204,
16860,6181861.8531074,2362922.77268428,-3382066.31277836,1911.11406223649,4317.18799700141,5397.11088063502,
16920,6285704.54382364,2617692.10864339,-3052528.06295051,1550.01369793859,4172.946495337,5583.94250333242,
16980,6367839.46162517,2863422.65483991,-2712420.38642563,1187.70983690302,4016.01999055634,5749.41732684432,
17040,6428227.75794873,3099375.75952072,-2363025.53938986,825.305982503076,3847.15587008719,5893.51605905618,
17100,6466895.27595535,3324857.4317616,-2005625.38070056,463.855342084922,3667.09509973139,6016.270220322,
17160,6483929.59414764,3539217.90007369,-1641498.50078511,104.362931942339,3476.57044034653,6117.75631068267,
17220,6479477.2057081,3741851.07904546,-1271917.68436469,-252.212022166805,3276.30515668921,6198.09051549175,
17280,6453740.84850721,3932193.97204787,-898147.675057652,-604.953472248067,3067.01217080949,6257.42393353859,
17340,6406976.99721001,4109726.03561835,-521443.210833037,-952.985763469392,2849.39362616944,6295.93832299215,
17400,6339493.52643043,4273968.52920474,-143047.298534033,-1295.47072924662,2624.14082898671,6313.84239200218,
17460,6251647.54956143,4424483.87145263,235810.305936534,-1631.60475760481,2391.93451363037,6311.36865168028,
17520,6143843.43217522,4560875.02028353,613914.444641268,-1960.61591561988,2153.44535837072,6288.77079203411,
17580,6016530.97549316,4682784.8900832,990065.761143979,-2281.76115550621,1909.33470260855,6246.32151491065,
17640,5870203.76490284,4789895.81757562,1363081.78713042,-2594.32361272643,1660.25544918749,6184.31080359107,
17700,5705397.67660762,4881929.08651828,1731797.93788025,-2897.61004449597,1406.85311427399,6103.04460629885,
17760,5522689.53328227,4958644.51861187,2095068.43959047,-3190.94842067612,1149.76697808526,6002.84387130246,
17820,5322695.90059475,5019840.13566938,2451767.20827391,-3473.68562976311,889.631306971671,5884.04389318731,
17880,5106072.01904252,5065351.89761463,2800788.6983588,-3745.18525663631,627.076669391862,5746.99395915612,
17940,4873510.86705486,5095053.52393112,3141048.74034719,-4004.825439139,362.73140765643,5592.05735299887,
18000,4625742.34797613,5108856.4077461,3471485.39121964,-4251.99690168343,97.2232405336834,5419.61177798875,
18060,4363532.58753691,5106709.62763086,3791059.82188727,-4486.10124222268,-168.819096601518,5230.05015494786,
18120,4087683.32701821,5088600.0575576,4098757.26194814,-4706.54944639316,-434.764220740967,5023.78172873482,
18180,3799031.39964777,5054552.5748403,4393588.02007234,-4912.76060062187,-699.97646184652,4801.23348813036,
18240,3498448.2772913,5004630.36697704,4674588.59969328,-5104.16084644675,-963.814207905225,4562.85192451043,
18300,3186839.67112263,4938935.33758483,4940822.93022369,-5280.18263507755,-1225.62826311953,4309.1051194648,
18360,2865145.16709443,4857608.6095128,5191383.73258293,-5440.26431621938,-1484.76025635735,4040.48512865233,
18420,2534337.87567226,4760831.12100861,5425394.03585875,-5583.85007515783,-1740.54113768829,3757.51063003838,
18480,2195424.07498098,4648824.30862919,5642008.85979259,-5710.39021110405,-1992.28979167947,3460.72979685252,
18540,1849442.82771573,4521850.87021946,5840417.07609368,-5819.34173141515,-2239.31174916114,3150.72339182765,
18600,1497465.55240283,4380215.60287739,6019843.46353595,-5910.16929096674,-2480.89797629192,2828.10814410715,
18660,1140595.52553274,4224266.31063201,6179550.97538438,-5982.34657722825,-2716.32377083862,2493.5404506328,
18720,779967.284348013,4054394.77341554,6318843.23784286,-6035.35825095246,-2944.84783720736,2147.7203631259,
18780,416745.89526073,3871037.76378991,6437067.29434041,-6068.7024849477,-3165.71163625754,1791.39578436998,
18840,52126.0520751177,3674678.09229419,6533616.60652262,-6081.89410128343,-3378.13909127246,1425.36682198119,
18900,-312669.033042011,3465845.65834003,6607934.3197512,-6074.46835064619,-3581.33670848098,1050.49023383098,
18960,-676388.984406399,3245118.48005871,6659516.79486866,-6045.98531048992,-3774.49415587482,667.683841878164,
19020,-1037757.89857416,3013123.67734947,6687917.40390379,-5996.03486607662,-3956.78523415881,277.93093718168,
