tSec,x,y,z,vx,vy,vz,
5640,8906379.78084218,41033806.1681565,786143.871451644,-3000.47655130643,639.750856016916,-261.961689653297,
5700,8726265.49369536,41071793.6089926,770418.614705918,-3003.32335955454,626.494974472592,-262.212691698164,
5760,8545982.13760631,41108985.30395,754678.449723717,-3006.11217230518,613.226035781022,-262.458629953634,
5820,8365533.19416754,41145380.4772329,738923.680496239,-3008.84292765236,599.944294427158,-262.699498974472,
5880,8184922.14865299,41180978.3683239,723154.611338524,-3011.51556478806,586.650005212545,-262.935293411318,
5940,8004152.4899521,41215778.2320032,707371.546883691,-3014.13002400402,573.343423250649,-263.166008010843,
6000,7823227.71050377,41249779.3383672,691574.792077176,-3016.68624669349,560.024803962162,-263.391637615901,
6060,7642151.30623022,41282980.9728464,675764.652170953,-3019.18417535294,546.694403070304,-263.612177165684,
6120,7460926.77647073,41315382.4362238,659941.432717751,-3021.62375358382,533.352476596113,-263.827621695867,
6180,7279557.62391531,41346983.0446524,644105.439565259,-3024.00492609421,519.999280853722,-264.037966338762,
6240,7098047.35453825,41377782.1296727,628256.978850328,-3026.32763870053,506.635072445627,-264.24320632346,
6300,6916399.47753154,41407779.0382301,612396.356993152,-3028.59183832919,493.26010825794,-264.443336975982,
6360,6734617.50523828,41436973.1326912,596523.880691456,-3030.7974730182,479.874645455638,-264.638353719416,
6420,6552704.95308587,41465363.7908611,580639.856914663,-3032.94449191885,466.478941477797,-264.828252074062,
6480,6370665.33951921,41492950.405999,564744.592898056,-3035.03284529722,453.073254032812,-265.013027657575,
6540,6188502.18593374,41519732.3868349,548838.396136939,-3037.06248453585,439.657841093616,-265.192676185097,
6600,6006219.01660844,41545709.1575849,532921.574380775,-3039.03336213526,426.232960892879,-265.367193469397,
6660,5823819.35863865,41570880.1579664,516994.43562733,-3040.94543171546,412.798871918202,-265.53657542101,
6720,5641306.74186889,41595244.8432142,501057.288116804,-3042.79864801754,399.355832907299,-265.70081804836,
6780,5458684.69882558,41618802.6840941,485110.440325949,-3044.5929669051,385.904102843168,-265.859917457903,
6840,5275956.76464957,41641553.1669186,469154.200962185,-3046.32834536577,372.443940949253,-266.013869854247,
6900,5093126.47702871,41663495.7935604,453188.878957711,-3048.00474151267,358.975606684596,-266.162671540288,
6960,4910197.37613028,41684630.081467,437214.783463596,-3049.62211458585,345.499359738978,-266.306318917329,
7020,4727173.00453327,41704955.5636737,421232.22384388,-3051.18042495367,332.01546002805,-266.44480848521,
7080,4544056.90716073,41724471.7888176,405241.50966965,-3052.67963411427,318.524167688454,-266.578136842428,
7140,4360852.63121188,41743178.3211506,389242.950713122,-3054.11970469688,305.025743072937,-266.706300686258,
7200,4177563.72609419,41761074.740552,373236.85694171,-3055.50060046323,291.520446745452,-266.829296812872,
