tSec,x,y,z,vx,vy,vz,
19080,-6160381.57039012,-4641443.46311388,-268260.608661899,1933.9297817893,-2188.0817666768,-6568.37805628646,
19140,-6034783.6736312,-4765410.12816674,-661737.643789454,2251.57418778106,-1943.06613785789,-6544.10017522131,
19200,-5890333.7049521,-4874490.26559797,-1053142.85863674,2562.16750167403,-1691.99444067843,-6499.3359231564,
19260,-5727484.13339518,-4968344.14086264,-1441251.06159541,2864.7336862682,-1435.65728101482,-6434.22918553032,
19320,-5546745.22419953,-5046679.96097001,-1824847.64350155,3158.32276341114,-1174.86166073505,-6348.98871561325,
19380,-5348683.3816769,-5109254.77765513,-2202732.44780913,3442.01391869649,-910.42828066965,-6243.88736676588,
19440,-5133919.30876199,-5155875.22697872,-2573723.58762945,3714.91850196883,-643.188789485925,-6119.26108642412,
19500,-4903125.99040898,-5186398.10300162,-2936661.19534452,3976.1828963691,-373.983008169905,-5975.50767871622,
19560,-4657026.50883529,-5200730.76447856,-3290411.09153818,4224.99125506213,-103.656138500184,-5813.08535260318,
19620,-4396391.69872388,-5198831.37345998,-3633868.36007887,4460.56809427272,166.944047258668,-5632.5110421588,
19680,-4122037.65212072,-5180708.96525384,-3965960.81537931,4682.18070351847,436.970010619114,-5434.35849490092,
19740,-3834823.08495332,-5146423.35143454,-4285652.34882263,4889.14134679107,705.577200642742,-5219.25616436314,
19800,-3535646.57752803,-5096084.85987538,-4591946.14420288,5080.80926665909,971.92673186023,-4987.88495882641,
19860,-3225443.70000108,-5029853.91616551,-4883887.75452401,5256.59251759253,1235.18799688548,-4740.97587256434,
19920,-2905184.03270725,-4947940.46982873,-5160568.03320005,5415.94963799335,1494.54122830997,-4479.3075012566,
19980,-2575868.09083845,-4850603.26820405,-5421125.9126527,5558.39116810589,1749.18001599006,-4203.70343782335,
20040,-2238524.16265031,-4738148.9804658,-5664751.02249153,5683.48101091588,1998.31378477207,-3915.02952376923,
20100,-1894205.07173774,-4610931.17456237,-5890686.1378604,5790.83759180693,2241.17021299737,-3614.19093790341,
20160,-1543984.87723844,-4469349.15210959,-6098229.44925601,5880.1347629647,2476.99753864259,-3302.12917189243,
20220,-1188955.5270813,-4313846.64946833,-6286736.65007234,5951.1024773927,2705.0667120102,-2979.81899414683,
20280,-830223.475351312,-4144910.41373294,-6455622.84291852,6003.52732488215,2924.6734222275,-2648.26544363013,
20340,-468906.270310658,-3963068.65934265,-6604364.26576025,6037.2529764399,3135.14006045785,-2308.50082295288,
20400,-106129.11856294,-3768889.40746198,-6732499.83632177,6052.1805304346,3335.81766904684,-1961.58163598117,
20460,256978.567389099,-3562978.70892794,-6839632.50947541,6048.26870784225,3526.08786463343,-1608.58541036775,
20520,619286.627123392,-3345978.754451,-6925430.44056463,6025.53383603118,3705.36465851507,-1250.60741554477,
20580,979667.603028266,-3118565.88046179,-6989627.9504717,5984.04963201121,3873.09611098596,-888.757347392743,
20640,1337000.17347986,-2881448.48031763,-7032026.29182477,5923.94683805353,4028.76583509134,-524.156019243672,
20700,1690172.55968237,-2635364.82976565,-7052494.21774603,5845.41271257346,4171.89435646578,-157.932093549067,
20760,2038085.89898409,-2381080.83366052,-7050968.35594719,5748.69042825122,4302.0403854025,208.781139854769,
20820,2379657.57959956,-2119387.69820363,-7027453.39021226,5634.07838494953,4418.80203269675,574.848971139529,
20880,2713824.5307654,-1851099.531505,-6982022.04875554,5501.92940371311,4521.81798113919,939.138504486169,
20940,3039546.46001778,-1577050.87577018,-6914814.89748942,5352.64976616987,4610.76858726619,1300.52192602079,
21000,3355809.02782957,-1298094.17639829,-6826039.93657393,5186.69808703591,4685.37687677217,1657.8797885014,
21060,3661626.9498745,-1015097.19521658,-6715972.00022417,5004.5840340752,4745.40940960473,2010.10427873362,
21120,3956047.01879147,-728940.375587895,-6584951.96164435,4806.86693043887,4790.67702311794,2356.10244511771,
21180,4238151.03905925,-440514.165954696,-6433385.74525529,4594.15425518332,4821.03547717967,2694.79939765081,
21240,4507058.66844154,-150716.307489267,-6261743.14728294,4367.10002477855,4836.3860042269,3025.1414965718,
21300,4761930.15838889,139550.90825948,-6070556.46539236,4126.40304257268,4836.67575952884,3346.0995293994,
21360,5001968.98512756,429383.405741644,-5860418.9377288,3872.80500014012,4821.89816932501,3656.67188957393,
21420,5226424.36147195,717878.108814665,-5631982.99142315,3607.08839716398,4792.09314256811,3955.887739439,
21480,5434593.61888224,1004135.73201968,-5385958.30351745,3330.07430711552,4747.34712345829,4242.81009187815,
21540,5625824.45207111,1287263.57101731,-5123109.67952923,3042.62002918175,4687.79301626955,4516.53881506416,
21600,5799517.01839548,1566378.2847978,-4844254.75323467,2745.6165877405,4613.60998050718,4776.21358471904,
21660,5955125.8822482,1840608.66071549,-4550261.51187155,2439.98607206633,4525.02305838628,5021.0167428323,
21720,6092161.79618444,2109098.35186076,-4242045.65346317,2126.67886109135,4422.30262749184,5250.17603351541,
21780,6210193.31259232,2371008.57690793,-3920567.78369602,1806.67074869145,4305.76370192692,5462.96721578324,
21840,6308848.21945694,2625520.77397305,-3586830.45982667,1480.95995206396,4175.76509865125,5658.71654672998,
21900,6387814.79315386,2871839.20033474,-3241875.09009776,1150.56400951998,4032.70846627315,5836.80311123182,
21960,6446842.86269462,3109193.46987202,-2886778.69800735,816.51660148686,3877.03718136804,5996.66100213191,
22020,6485744.68082436,3336841.02019455,-2522650.55941889,479.864284751917,3709.23510420536,6137.7813813763,
22080,6504395.59554767,3554069.50005363,-2150628.71991629,141.6631015866,3529.82516001124,6259.71440143754,
22140,6502734.51444374,3760199.06580641,-1771876.40276591,-197.024929970902,3339.36772544026,6362.07091853091,
22200,6480764.15622175,3954584.57544498,-1387578.32169996,-535.135387176534,3138.4588317034,6444.52394803078,
22260,6438551.08762584,4136617.66999647,-998936.91426785,-871.60502000348,2927.72821161673,6506.8098583258,
22320,6376225.54622475,4305728.73372648,-607168.511198348,-1205.37530794814,2707.83721744225,6548.72931098413,
22380,6293981.0507148,4461388.72624341,-213499.456725427,-1535.39598547881,2479.47663657108,6570.14795766114,
22440,6192073.8006964,4603110.88072226,180837.805962859,-1860.62853315561,2243.36441229345,6570.99690729957,
22500,6070821.8682927,4730452.26234183,574608.670536642,-2180.0496224978,2000.24326263585,6551.27296746906,
22560,5930604.18481204,4843015.18081532,966580.310890953,-2492.65450094368,1750.87819985867,6511.03865245703,
22620,5771859.32650028,4940448.45161389,1355525.61764089,-2797.46030039937,1496.05397279872,6450.42194530594,
22680,5595084.10448822,5022448.50225835,1740227.11319315,-3093.50925531879,1236.57246448178,6369.615825918,
22740,5400831.96413378,5088760.32141838,2119480.83195483,-3379.87183998001,973.250053357006,6268.87758045822,
22800,5189711.19875717,5139178.24834002,2492100.15229111,-3655.64981183931,706.914929177978,6148.52788352408,
22860,4962382.98436834,5173546.5998759,2856919.56720723,-3919.97913636896,438.404362229806,6008.94968112805,
22920,4719559.24153352,5191760.13148255,3212798.38222871,-4172.0328304738,168.56189135711,5850.58686622222,
22980,4462000.3301302,5193764.32689801,3558624.32409831,-4411.02365755739,-101.765556098057,5673.9426088996,
23040,4190512.59243396,5179555.51803046,3893317.03970728,-4636.206468049,-371.730402011896,5479.57742362426,
23100,3905945.76307544,5149180.84700422,4215831.48180983,-4846.88037947984,-640.486987621429,5268.1073748911,
23160,3609190.24172193,5102738.06806885,4525161.18806621,-5042.39118337822,-907.194407955436,5040.20220072183,
23220,3301174.22262489,5040375.17008376,4820341.42855198,-5222.13359750676,-1171.01958200582,4796.5827631601,
23280,2982860.70627378,4962289.82134113,5100452.18420153,-5385.5529265789,-1431.14003301485,4538.01806046102,
23340,2655244.42598307,4868728.66100521,5364620.94705863,-5532.14629231828,-1686.74624440935,4265.32234081141,
23400,2319348.7054804,4759986.45577483,5612025.35546273,-5661.46374646997,-1937.04384706264,3979.3524757349,
23460,1976222.24884445,4636405.12409749,5841895.67508786,-5773.10941953306,-2181.25587162597,3681.00540323251,
23520,1626935.86163771,4498372.62159166,6053517.12217567,-5866.74263925825,-2418.6251134134,3371.21539224594,
23580,1272579.11014482,4346321.68416817,6246232.01478691,-5942.07885181882,-2648.41648249224,3050.95105304878,
23640,914256.93328,4180728.43418941,6419441.73967461,-5998.89027918532,-2869.9192052886,2721.21220593493,
23700,553086.221824959,4002110.85989003,6572608.53046205,-6037.00636605039,-3082.448852533,2383.02673855385,
23760,190192.374884904,3811027.17682204,6705257.0579284,-6056.31410187276,-3285.34925710849,2037.44747828713,
23820,-173294.159527603,3608074.07621488,6816975.83150068,-6056.75822087075,-3477.99436588968,1685.54901827117,
23880,-536241.351194018,3393884.86464097,6907418.40856915,-6038.34124113146,-3659.79000712509,1328.42449025011,
23940,-897519.051753206,3169127.50058407,6976304.40933999,-6001.12333931205,-3830.17555792654,967.182313903241,
24000,-1256002.4467988,2934502.53404861,7023420.33652257,-5945.22208254992,-3988.62551150147,602.942944272491,
24060,-1610575.48829187,2690740.95437337,7048620.19955967,-5870.81204023797,-4134.65097507929,236.835601423124,
24120,-1960134.29937027,2438601.95016104,7051825.94105662,-5778.12424389768,-4267.80109454289,-130.005053395319,
24180,-2303590.54149462,2178870.58711899,7033027.66294155,-5667.44547482688,-4387.66436097354,-496.442259707381,
24240,-2639874.73454955,1912355.41116297,6992283.65247384,-5539.1174132028,-4493.86979916628,-861.340489610472,
