sweep,value,config,mode,dt,epsilon,n_states,seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,runtime_s,q_mode,q_pos_R,q_pos_I,q_pos_C,q_vel_R,q_vel_I,q_vel_C
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,13,20.268048974443523,17.812371190793254,9.670224495420964,43.58383390507667,0.011519727540162457,0.0066839750913170164,0.009382355758455923,0.4182111972972084,0.006647144922076409,-0.00812098264023281,-0.004105533094342584,0.011268997144679336,1.246220006089061,10.28420975600011,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,14,19.29856678048946,16.051715227354162,10.713408329795786,45.06360995185412,0.012272239239097309,0.007476972380442263,0.009731533279177711,0.4351428697874408,-0.010897469319525788,0.018514475408157205,0.00963194369736542,0.02354389467778178,0.1395928130896209,10.23453782200022,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,15,21.442875253665605,19.858619004662007,8.0890141780035,47.32423440802151,0.011406037652108417,0.007134792080352248,0.008899013253808409,0.39189401177773187,0.010353716473866958,-0.02152729012401494,-0.011298469667922084,0.026424970799259,3.4987260553534725,10.462083818000337,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,1,37.33024679247935,31.901576431522887,19.386509401414116,82.94189434126098,0.014246993924712808,0.010705719254930688,0.009400234631402027,0.3339748405159285,0.01792266361009731,0.018990913852635072,-0.004563982707658509,0.02650861403383283,8.5621662272315,8.185728414000096,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,2,28.112048020871867,25.7641982077421,11.246925563903437,62.29944808494302,0.01613673742051096,0.007882011386873368,0.014080773809550284,0.5643971893186682,0.0027462155167333746,0.010064199663910478,0.013941290823677899,0.017412334833955167,-10.790329978970476,9.971710462999908,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,3,22.67634814800515,19.6425745077721,11.330756022267805,66.51204585600789,0.011822422247933341,0.006810608286399789,0.009663606085600336,0.37904812762331797,0.02003569303380015,-0.003521939325985435,-0.01494140437586472,0.025240416333406627,4.263267795862703,7.686740299000121,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,4,21.018650137335776,17.881270505765052,11.047344418247402,48.127549515800546,0.012314151529431347,0.007350548183227354,0.009879664432350391,0.3785914245076146,0.003426388195447494,-0.00859705257223814,0.004855456435742811,0.010451072011766288,4.505823028601299,7.693310728000142,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,5,33.0046947073392,30.21344212476912,13.283741479639346,62.206757999200285,0.014755986483758175,0.00940816237816728,0.011367744621291056,0.44713895566021383,0.017166863834455093,0.01930587500848735,-0.0017431068233542124,0.02589317371724993,-1.6888354501752474,8.539592861000074,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,6,28.439827495968277,24.982913005652513,13.589622722961517,57.26889405852092,0.014248944293570834,0.00764518823151779,0.012024288352578153,0.4785100704269775,0.011069703172759349,0.019349094477579265,-0.0031534972999036626,0.022513780905387408,-3.4447708500265435,10.470938640999975,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,7,26.06346210632075,22.96608011024451,12.323279650216875,69.11951346732062,0.014313614975346587,0.00843958451242935,0.011560838504192884,0.4550299981075381,-0.006282488575262979,0.019585858133903677,0.004636951641185161,0.021084990444920775,-1.8511414860713558,10.115296716999637,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,8,21.091765794517134,18.271333345458544,10.53664852360074,74.04260127269842,0.011003751945507373,0.007488290341751023,0.00806275788027246,0.29026232572760374,0.010987647745885565,0.027462932654574668,-0.0035186041244910093,0.029787944675023364,12.99174370401306,9.624027220999778,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,9,31.898108663218327,26.013490995182558,18.4604339746941,119.12466167654303,0.013440912201047142,0.008121836640771657,0.010709523349658327,0.41532350477707275,0.007262996211433115,-0.0012524772484013846,0.009440715368919328,0.01197693282531068,1.9429966295829217,8.017862824000076,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
