seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,n_iters,converged,rigid_dev,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
33,15.832867984948171,11.970092410541293,10.36323290831093,54.35436705434191,0.0082633227460506,0.0019413678116129297,0.008032035472122272,0.19308010636034773,11.195469389000209,5,True,2.668790607331725,-0.006798482140833645,0.0005818518676291295,0.0003885954688314223,0.0068343922519485106,-188.7810993495732,deltaI0.2,FGO-G
34,13.917896222750093,11.575526872596924,7.727548957400904,43.871394125530095,0.005476482776391812,0.0014355790018529824,0.005284976492810063,0.1604318409491224,20.874479050000446,6,True,2.28738090281969,-0.0017208123126823736,0.0013354799997303823,0.0011713974737809299,0.0024732314664704285,-84.93785941025999,deltaI0.2,FGO-G
35,14.729291337147668,14.00866237817356,4.550758361956613,30.57835356400606,0.0059619011356996906,0.0013853577142888323,0.0057987109908425065,0.16963208558675036,15.266902657000173,6,True,7.396063655093913,-0.0034503371594659174,0.0012952184890618057,0.0007101049529757329,0.0037532208158646287,-104.3437513703393,deltaI0.2,FGO-G
36,18.7739945971295,17.357971486343374,7.152880469596716,44.77959935278231,0.005117227935377732,0.0017882506131501376,0.004794599199847512,0.14933920521365096,17.33444965599847,7,True,10.611575312191585,-0.004434455731316984,0.0005954974192697582,0.0038295944168655,0.0058893809697670605,-67.55299388041021,deltaI0.2,FGO-G
37,13.889071763540548,13.080482172493173,4.669828753591256,30.657201671152198,0.006357787133670158,0.0015845579378249584,0.0061571611460751715,0.17498619260452195,20.154145538999728,6,True,3.4746550953051702,-0.004919649595779222,0.0010073299523689072,0.0022526674238910363,0.005503832873629984,-117.0589926327375,deltaI0.2,FGO-G
38,16.036940871110758,13.337750480695815,8.904374465295204,46.01511878781296,0.004243320162551734,0.001535361680776262,0.00395580971624293,0.1263356863887008,12.397712760001014,5,True,1.8611518783039351,-0.0028995338775489603,0.0006260882243004917,-8.169697121528116e-05,0.0029674833726185566,-34.20051986412727,deltaI0.2,FGO-G
39,12.734375478287259,10.880763583273831,6.616139559207155,42.444352442821376,0.003217680908333994,0.0011997236008908327,0.002985654653392219,0.08096469205502488,24.241620115000842,7,True,3.6197363062301826,0.0002941224503491054,0.0014206579220197024,0.001023000838129461,0.0017751922887423437,23.645226380045642,deltaI0.2,FGO-G
40,12.697383086274984,11.26888044877955,5.851142680770652,31.443238488299357,0.003188532281147897,0.0011532812733475784,0.002972655447990567,0.08050805708857728,12.506213209000634,5,True,5.673945215248396,-0.0003579381176926769,0.0011076100736113481,0.0014677021291392394,0.0018732510005716183,24.31615252824122,deltaI0.2,FGO-G
41,10.941900472339443,9.692961239312298,5.07658235033881,23.14467228467837,0.0054064003915991,0.001296225354806689,0.005248710796361252,0.15946816371288153,21.07202855200012,6,True,3.748990092645614,-0.0039228381889297404,0.0011020479445071618,0.00019641279037237687,0.004079429753377289,-84.58577941201656,deltaI0.2,FGO-G
42,13.434993202391881,11.260613324818475,7.327866667539513,47.29197616231749,0.004320353255801637,0.0014069494293196842,0.004084843394581096,0.1298892237100139,15.818308273001094,7,True,4.304656797495309,-0.003688156600625004,0.000719232870817349,0.0012608899726006153,0.003963538640684954,-39.400043047455256,deltaI0.2,FGO-G
