sweep,sweep_value,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
sigma_tstar,10.0,5,28.425800361756338,6.860650118720776,0.013853168961169301,0.001780133498933701,17.676649765201,3.0325775730914017,0.02109981112386962,0.007007247414204302,0.012278259066514119,0.007229811074582426,-0.0004905255159382227,0.9667667702015024,7.522367004138403,6.797311399658397
sigma_tstar,30.0,5,28.41933354748516,6.860849674543455,0.013851754616709178,0.0017796188829898962,17.089992854400045,1.612887621297608,0.021095978105945115,0.00700730944752549,0.01227923286719954,0.0072353726492933815,-0.00048655323766694236,0.9695207568569458,7.519265399715986,6.794957852633766
sigma_tstar,60.0,5,28.42661237086653,6.864048842982271,0.013852865889479987,0.001780149544431536,16.280423055999563,1.791014434295628,0.021098289298272392,0.007006818851662302,0.0122784573026971,0.007229667144347895,-0.0004897604093723973,0.9691448285841033,7.520216615140017,6.795746320285483
sigma_tstar,120.0,5,28.423582699930755,6.862365336841472,0.01385262625451058,0.0017794604788649484,16.119554417800828,2.1645922480226427,0.021095666668047696,0.007008470636819284,0.012279177810416564,0.007234926910603678,-0.00048738365505173186,0.9665140510805941,7.520644898377769,6.795750816571535
sigma_tstar,240.0,5,28.424060389551165,6.860427746779257,0.013853048663447137,0.0017791445849825378,15.825387714800309,1.6807880542034659,0.021097612637973474,0.007003664514014138,0.012278481726217816,0.007227156654092381,-0.0004947043279496133,0.9657662766971044,7.520278326127558,6.795319961793155
sigma_tstar,480.0,5,28.422729909689338,6.858398192777992,0.013853955258010326,0.0017777843578011157,20.491111943200668,7.1483766324895095,0.021100519087156513,0.00700890738484992,0.012279895151330034,0.007236202768297761,-0.0004879482468589713,0.9601233864887035,7.516571126198716,6.791237745319032
sigma_tstar,960.0,5,28.422309378931896,6.860355646170274,0.013853597690000025,0.0017771577828378982,29.892018907800228,27.55310810923592,0.021098014598791036,0.007009494884195735,0.01228064512721192,0.007236341352126296,-0.00048799748333909764,0.961716955117663,7.5131031554576815,6.788392646378032
sigma_tstar,1920.0,5,282.87532688540733,573.9540822596765,0.038984622007114667,0.04747917451170935,96.31096068379921,112.17016947200477,0.1618365675482708,0.22090934524589456,-0.1330683727126992,-0.003689302566174535,-0.028260158506145973,198.87065951225813,502.8982343513969,491.8077332716949
epsilon,0.1,5,75.63666035204244,2.0952452846427794,0.058176893377795316,0.00045007516949098237,18.29886348200016,3.178145551510594,4.042849136877136,8.535593430518574,-2.4521497259646563,-2.0947839741379006,-2.082726219499348,-31.248330531428657,130.8255031512046,121.11444166908457
epsilon,0.5,5,75.63767511385815,2.096995234622218,0.058177047431456255,0.0004500535159316657,17.263698952399864,3.432981960989545,0.9298935987735432,1.574866063591203,0.5287309450692705,0.3189145453082887,0.4773684538906144,-32.41118413692239,130.49029626326262,121.13075081190873
epsilon,1.0,5,67.2509229229077,19.274369490552136,0.049519997398189124,0.019650442226402512,18.80557594939819,3.4280515973173715,1983.6784422943329,4434.854719555338,1812.857280696971,320.25300271146864,737.8888063165756,-41.94692605075652,119.76528681890775,115.04140014168738
epsilon,2.0,5,110.35849592786117,91.59111002460598,0.04774312564619012,0.024309285140889085,28.590516422799556,12.217700090564664,244.61607140672328,310.5793496971238,158.4754902125481,104.1231922282883,-29.678364638625034,-2651.764161912357,5264.649604778191,5404.172604504382
epsilon,3.0,5,74.27529764232715,69.94886015925907,0.0359387630982735,0.022377896437381483,31.01883375020043,11.637640510616924,3005.453469242111,5052.409242810449,904.3171855982506,2243.5753606656317,1729.1927024347547,-487.30638621694635,1439.6498795110958,1376.7864520356343
epsilon,5.0,5,93.78547728374015,90.3341074722468,0.021051328611473175,0.0045650393612059696,40.924355347600795,19.517852248765887,3.0450102098260903,2.2574568925197784,1.6793344450767784,1.713435077152522,1.6580002432066951,-0.05511228250870772,57.77167672364726,51.6725879217692
epsilon,10.0,5,30.314956409865033,5.450514611437475,0.021805058947101982,0.010381460604860003,65.35603766979985,70.26095220877137,0.2472284784344066,0.06881732649015146,0.028173546721582055,0.03192327775598032,0.02206427231930478,-27.536136559145962,39.351929578866425,44.68890584773792
epsilon,20.0,5,28.42447267229043,6.8625847829406545,0.013861970143112187,0.0021522786234467457,17.615736097800255,1.9651346842709518,0.06740677924341626,0.012675747576619465,0.04315636324052592,0.03895646410801594,0.030580543673944895,0.6284574684596009,6.250324115648409,5.625673295720922
epsilon,30.0,5,28.423582699930755,6.862365336841472,0.01385262625451058,0.0017794604788649484,15.957481465200544,1.9338612268133843,0.021095666668047696,0.007008470636819284,0.012279177810416564,0.007234926910603678,-0.00048738365505173186,0.9665140510805941,7.520644898377769,6.795750816571535
epsilon,50.0,5,28.428959599411392,6.858640887582709,0.014335022972580703,0.0013856160604604237,15.6667456812007,0.6168228714410765,0.02151039571795242,0.006665035356800292,0.013360279857215107,0.005194688874194308,-0.002206134727053155,0.8144948597171606,8.124851626854744,7.312590036589567
epsilon,100.0,5,28.459882707366717,6.849521763436873,0.016566922240817804,0.0010347207998999855,16.632535705601185,2.6662052829605427,0.029820548797238066,0.007180555282532406,0.024741564583453623,0.004481103980437351,-0.0017281735443008372,0.2308459620711801,9.47880398582037,8.481242235633168
epsilon,250.0,5,28.66970401651392,6.772047684088862,0.022506065240941668,0.0006466570909038748,15.138832820000971,0.40557092398658173,0.073381238150462,0.0069557407644163256,0.07145524496078035,0.002025677029331485,0.0011807282860287539,-0.3875560295593459,13.745140721281798,12.300134732364484
